vendor_name,vendor_url,product_name,product_url
Ascensio System SIA,onlyoffice.com,ONLYOFFICE Docs,https://www.onlyoffice.com/office-suite.aspx
"CyberArk Software, Ltd.",cyberark.com,CyberArk Workforce Identity,https://www.cyberark.com/products/workforce-identity/
"TriNet Group, Inc.",trinet.com,TriNet HR Plus,https://www.trinet.com/solutions/hr-plus
"Arcoro, Inc.",arcoro.com,Arcoro HR,https://arcoro.com/platform/manage/hr-management
Broadvoice,broadvoice.com,Broadvoice | GoContact,https://www.gocontact.com/
"MasterControl, Inc.",mastercontrol.com,MasterControl Quality Excellence,https://www.mastercontrol.com/quality/
"Klipfolio, Inc.",klipfolio.com,Klipfolio Klips,https://www.klipfolio.com/klips
"Cisco Systems, Inc.",cisco.com,Cisco Meraki Go,https://www.meraki-go.com/
"Intuit, Inc.",intuit.com,QuickBooks Desktop Premier,https://quickbooks.intuit.com/oidam/intuit/sbseg/en_us/quickbooks-desktop/web/content/quickbooks-desktop-manual%20%281%29.pdf
"NAVEX Global, Inc.",navex.com,NAVEX One,https://www.navex.com/en-us/resources/products/navex-one/
"Nextiva, Inc.",nextiva.com,Nextiva Contact Center,https://www.nextiva.com/support/articles/nextiva-contact-center-contacts.html
"Lenovo Group, Ltd.",lenovo.com,Lenovo ThinkSystem ST Series,https://www.lenovo.com/in/en/p/servers-storage/servers/towers/thinksystem-st50/
"Optimizely, Inc.",optimizely.com,Optimizely One,https://www.optimizely.com/products/
"UXCam, Inc.",uxcam.com,UXCam Mobile App Analytics,https://uxcam.com/leading-mobile-analytics/
LinkedIn Corporation,linkedin.com,LinkedIn Sales Navigator for Gmail,https://www.linkedin.com/business/sales/blog/sales-navigator/sales-navigator-lite-for-gmail
Oracle Corporation,oracle.com,Oracle Data Integration Platform Cloud (DIPC),https://docs.oracle.com/en/cloud/paas/data-integration-platform-cloud/using/what-is-dipc.html
"AgencyBloc, Inc.",agencybloc.com,AgencyBloc AMS+,https://www.agencybloc.com/ams/
"Aline, Inc.",alineops.com,Aline,https://alineops.com/
Virtuozzo International GmbH,virtuozzo.com,Virtuozzo Application Platform,https://www.virtuozzo.com/application-platform/
"Voxel51, Inc.",voxel51.com,Voxel51 FiftyOne,https://voxel51.com/fiftyone
"Google, LLC",google.com,Google Workspace Essentials,https://www.cloudskillsboost.google/course_templates/779
IBM Corporation,ibm.com,IBM watsonx Code Assistant,https://www.ibm.com/products/watsonx-code-assistant
"Maropost, Inc.",maropost.com,Maropost Marketing Cloud,https://maropost.com/platform/marketing-cloud
Gurucul,gurucul.com,Gurucul Next-Gen SIEM,https://gurucul.com/products/next-gen-siem/
RedTeam Software,redteam.com,RedTeam Go,https://redteam.com/product/redteam-go/
"Aptos, Inc.",aptos.com,Aptos Store POS,https://www.aptos.com/pos-solutions
"Cradlepoint, Inc.",cradlepoint.com,Cradlepoint NetCloud Engine,https://customer.cradlepoint.com/servlet/servlet.FileDownload?file=015380000029my3
"Klarna, Inc.",klarna.com,Kustom Checkout,https://www.klarna.com/international/enterprise/platforms-and-partners/kustom/
"Tradeshift, Inc.",tradeshift.com,Tradeshift Go,https://getgo.tradeshift.com/
RedTeam Software,redteam.com,RedTeam Flex,https://redteam.com/product/redteam-flex/
